1.5,12,3.3,1,1,0,0,0,0,0,0,0,0,0,0,11,3,4,9.3,25
1.4,19,1.2,24,0,0,0,0,0,0,0,14,11,76,0,13,2,0,0,38
3.5,2,3.5,0,3,0,74,0,0,0,4,49,18,101,0,41,3,0,0,101
3.9,7,3.6,7,0,1,0,0,0,0,0,25,4,52,0,32,6,2,5.6,52
1.6,31,1.9,27,4,8,0,0,0,0,3,21,2,41,0,21,8,1,3.7,35
2.9,11,1.5,29,0,1,0,0,0,0,0,24,7,69,0,39,7,5,11.2,65
1.8,17,1.9,16,0,0,0,0,0,0,0,10,0,148,0,36,5,0,0,50
1.2,32,1.4,30,0,0,0,0,0,0,0,7,1,22,0,10,0,4,9.3,22
2.3,13,3.5,4,1,0,0,0,0,0,0,15,2,44,0,11,0,0,0,28
1.8,14,1.9,14,0,0,0,0,0,0,0,5,6,22,0,6,0,2,5.6,21
1.3,29,1.5,26,0,0,0,0,0,0,0,0,0,144,21,0,6,0,0,24
2.6,27,5.1,8,2,4,0,0,0,0,0,18,6,56,0,62,5,0,0,56
2.1,28,2.2,28,16,13,0,0,0,0,0,26,14,212,0,26,7,0,0,64
0,24,1.4,13,2,2,0,0,0,0,0,11,3,25,0,19,3,0,0,25
3.1,3,3.5,2,0,1,0,0,0,0,0,38,13,72,0,24,2,0,0,72
5.3,22,5.8,22,2,15,0,0,0,0,1,57,10,170,0,82,23,11,22.4,131
3.2,21,3.7,18,5,8,0,0,0,1,6,31,10,95,0,68,18,0,0,90
1.1,30,0.9,32,0,0,0,0,0,0,0,8,5,25,0,14,1,0,0,24
2.0,26,2.3,23,0,0,0,0,0,0,0,13,2,34,0,32,8,0,0,33
1.4,15,1.3,19,0,0,0,0,2,0,0,12,1,35,0,14,1,0,0,35
