12,3,3,0,9.1,28,18,0.8,2.4,21
19,0,0,0,9.9,26,14,2.6,0,68
2,7,7,1,9.6,27,4,2.8,2.4,71
7,16,16,2,17.0,12,1,4.6,12.0,119
31,5,5,0,18.3,8,32,1.4,0,36
11,21,21,0,17.0,11,6,6.5,0,168
17,23,23,2,12.2,19,15,2.0,0,53
32,0,0,0,15.5,15,31,1.7,0,44
13,1,1,0,13.9,17,19,2.7,14.4,70
14,0,0,0,11.4,21,26,1.7,1.2,43
29,0,0,0,13.5,18,30,0.9,0,22
27,8,8,1,24.6,4,23,2.4,1.2,63
28,6,6,0,21.1,5,25,2.5,0,64
24,7,7,0,8.8,30,32,0.8,0,20
3,4,4,0,10.5,24,0,3.8,0,97
22,22,22,0,46.3,1,17,8.2,4.8,214
21,5,5,0,24.9,3,12,4.1,0,107
30,0,0,0,11.4,22,20,2.6,0,66
26,6,6,0,18.9,6,27,2.4,0,63
15,0,0,0,9.1,29,21,0.8,0,20
