116,273,0,457,273,74,144,39,0,0,0,44,0,157
73,136,0,209,136,64,57,35,0,0,0,37,0,63
316,614,0,1002,614,179,292,144,0,0,0,157,0,297
152,311,15,601,311,165,148,85,26,0,0,92,27,159
62,136,1,265,136,46,68,24,0,0,0,25,0,74
236,338,1,597,338,88,96,13,0,0,0,16,0,101
280,373,5,522,373,195,85,54,0,0,172,228,0,93
62,104,0,217,104,46,31,12,0,0,0,16,0,42
47,76,0,178,76,32,23,14,14,0,0,16,16,29
112,169,0,357,169,45,51,21,0,0,0,23,0,57
56,132,0,217,132,43,74,15,0,0,0,15,0,76
129,353,11,564,353,103,13,7,0,0,0,92,0,223
62,135,0,279,135,74,36,20,0,0,0,23,0,73
60,70,0,119,70,32,3,1,1,0,0,2,2,10
219,417,12,752,417,84,170,36,0,0,0,44,0,197
211,484,4,1150,484,159,251,72,0,0,1,80,0,272
183,371,0,704,371,152,171,90,0,0,0,92,0,188
85,184,0,359,184,86,89,30,30,2,0,32,32,98
101,205,0,311,205,49,90,30,0,0,11,43,0,103
