3,3,0,0,0,9.1,28,18,1.5,0,0,54
0,0,0,1,0,9.9,26,14,1.6,0,0,60
7,7,1,0,0,9.6,27,4,2.2,46,3.9,80
16,16,0,6,0,17.0,12,1,7.3,0,0,269
5,5,11,0,0,18.3,8,32,1.5,8,0.7,56
21,21,3,8,0,17.0,11,6,4.1,5,0.5,153
23,23,0,0,0,12.2,19,15,2.4,1,0.2,89
0,0,0,0,0,15.5,15,31,1.0,17,1.4,36
1,1,0,0,0,13.9,17,19,2.0,7,0.6,72
0,0,0,0,0,11.4,21,26,1.1,15,1.3,40
0,0,0,0,0,13.5,18,30,1.8,0,0,67
8,8,1,1,1,24.6,4,23,2.7,63,5.2,99
6,6,0,0,0,21.1,5,25,3.0,0,0,112
7,7,0,0,0,8.8,30,32,0.6,8,0.7,21
4,4,0,0,1,10.5,24,0,1.9,43,3.6,68
22,22,2,3,0,46.3,1,17,7,29,2.4,288
5,5,1,0,0,24.9,3,12,4.0,26,2.2,148
0,0,0,0,0,11.4,22,20,1.7,0,0,63
6,6,0,4,0,18.9,6,27,2.4,0,0,90
0,0,0,0,2,9.1,29,21,0.6,33,2.8,22
