0,2,2,3,3,9.1,28,18,1.1,1.3,1,0,0,0,0,0,2.0,6
0,2,2,0,0,9.9,26,14,1.7,1.6,0,0,0,0,0,0,0,10
0,7,7,7,7,9.6,27,4,4.4,2.5,0,0,0,0,0,0,0,28
0,20,20,16,16,17.0,12,1,3.5,4.7,1,0,13,0,0,5,17.0,22
0,6,6,5,5,18.3,8,32,2.3,1.3,0,0,0,0,0,0,0,14
0,12,12,21,21,17.0,11,6,2.9,4.1,0,3,5,2,0,0,10.0,18
0,17,17,23,23,12.2,19,15,2.4,2.0,0,0,0,4,0,0,0,15
0,2,2,0,0,15.5,15,31,0.9,1.1,0,0,2,0,1,1,3.0,5
0,8,8,1,1,13.9,17,19,1.7,1.9,0,0,0,3,0,0,0,10
0,7,7,0,0,11.4,21,26,0.8,1.2,0,0,0,0,0,0,0,4
1,0,1,0,0,13.5,18,30,2.0,1.1,0,0,0,0,0,0,0,12
0,16,16,8,8,24.6,4,23,0.9,2.8,0,0,0,0,0,0,0,5
0,8,8,6,6,21.1,5,25,1.1,2.3,0,0,0,0,0,0,0,6
0,6,6,7,7,8.8,30,32,0,0.6,0,0,0,0,0,0,0,0
0,7,7,4,4,10.5,24,0,2.9,3.1,0,0,0,0,0,3,0,18
0,34,34,22,22,46.3,1,17,6.9,6.7,1,10,11,3,2,10,25.0,43
0,21,21,5,5,24.9,3,12,5.5,4.2,0,0,0,1,0,0,0,34
0,1,1,0,0,11.4,22,20,1.4,1.5,0,0,0,0,0,0,0,8
0,15,15,6,6,18.9,6,27,1.7,1.9,0,0,0,0,0,0,0,10
0,5,5,0,0,9.1,29,21,2.6,1.2,0,0,0,0,0,1,0,16
