0,0,0,0,9.9,26,14,0,0,8
0,7,1,0,9.6,27,4,46,3.9,9
0,1,0,0,17.0,12,1,0,0,5
0,2,11,0,18.3,8,32,8,0.7,0
0,10,3,0,17.0,11,6,5,0.5,6
0,7,0,0,12.2,19,15,1,0.2,6
0,0,0,0,15.5,15,31,17,1.4,0
0,0,0,0,13.9,17,19,7,0.6,2
0,0,0,0,11.4,21,26,15,1.3,0
3,0,0,0,13.5,18,30,0,0,0
0,18,1,1,24.6,4,23,63,5.2,14
0,0,0,0,21.1,5,25,0,0,7
0,1,0,0,8.8,30,32,8,0.7,1
0,4,0,1,10.5,24,0,43,3.6,22
0,11,2,0,46.3,1,17,29,2.4,10
0,7,1,0,24.9,3,12,26,2.2,1
0,0,0,0,11.4,22,20,0,0,1
0,7,0,0,18.9,6,27,0,0,5
0,0,0,2,9.1,29,21,33,2.8,2
