28,18,1.1,1.5,0.8,2.4,0,22,0,0,1.3,127
26,14,1.7,1.6,2.6,0,0,0,0,0,1.6,154
27,4,4.4,2.2,2.8,2.4,0,1,0,46,2.5,241
12,1,3.5,7.3,4.6,12.0,0,7,0,0,4.7,452
8,32,2.3,1.5,1.4,0,0,0,0,8,1.3,125
11,6,2.9,4.1,6.5,0,0,0,0,5,4.1,390
19,15,2.4,2.4,2.0,0,0,5,0,1,2.0,188
15,31,0.9,1.0,1.7,0,0,0,0,17,1.1,109
17,19,1.7,2.0,2.7,14.4,0,2,0,7,1.9,183
21,26,0.8,1.1,1.7,1.2,0,3,0,15,1.2,113
18,30,2.0,1.8,0.9,0,0,0,0,0,1.1,103
4,23,0.9,2.7,2.4,1.2,8.1,4,0,63,2.8,267
5,25,1.1,3.0,2.5,0,8.1,8,0,0,2.3,221
30,32,0,0.6,0.8,0,0,0,0,8,0.6,57
24,0,2.9,1.9,3.8,0,0,3,0,43,3.1,298
1,17,6.9,7,8.2,4.8,0,23,0,29,6.7,644
3,12,5.5,4.0,4.1,0,0,10,0,26,4.2,400
22,20,1.4,1.7,2.6,0,0,0,0,0,1.5,140
6,27,1.7,2.4,2.4,0,0,0,0,0,1.9,185
29,21,2.6,0.6,0.8,0,0,1,0,33,1.2,110
