1.5,12,3.3,1,0,1.4,0.1,0,9,3,0,22
1.4,19,1.2,24,0,1.5,0.2,0,9,2,0,27
3.5,2,3.5,0,0,3.4,0.4,0,33,3,0,37
3.9,7,3.6,7,1,3.4,0.4,0,36,6,2,73
1.6,31,1.9,27,1,1.9,0.2,0,19,8,5,37
2.9,11,1.5,29,0,3.4,0.4,0,64,7,8,47
1.8,17,1.9,16,10,2.5,0.3,0,44,5,3,39
1.2,32,1.4,30,0,1.0,0.1,0,4,0,0,19
2.3,13,3.5,4,13,1.2,0.1,0,16,0,2,19
1.8,14,1.9,14,0,1.0,0.1,0,9,0,1,8
1.3,29,1.5,26,14,1.3,0.1,7,7,6,0,14
2.6,27,5.1,8,0,2.3,0.2,0,87,5,4,55
2.1,28,2.2,28,0,3.0,0.3,0,49,7,3,56
0,24,1.4,13,0,1.1,0.1,0,17,3,1,23
3.1,3,3.5,2,0,3.8,0.4,0,75,2,4,52
5.3,22,5.8,22,1,6.2,0.6,0,83,23,6,117
3.2,21,3.7,18,1,5.3,0.6,0,49,18,5,110
2.0,26,2.3,23,6,2.1,0.2,0,29,8,0,17
1.4,15,1.3,19,0,2.0,0.2,0,4,1,0,43
